headline,content,published_date,article_url
"Jonas Brothers announce 20th anniversary 'Living The Dream Tour:' Check presale times, dates and how to get tickets","Jonas Brothers tour: The Jonas Brothers have unveiled the North American dates for their upcoming 20th anniversary tour. The 43-date tour launches on Aug. 10 at MetLife Stadium in East Rutherford, N.J., and concludes on Nov. 14 at Mohegan Sun Arena in Uncasville, Conn. The event features live performances, DJ sets, Q&A panels, fan activations, pop-up surprises, retail takeovers and much more.","27 Mar, 2025, 08:34 PM IST",https://economictimes.indiatimes.com/news/international/global-trends/jonas-brothers-announce-20th-anniversary-living-the-dream-tour-check-presale-times-dates-and-how-to-get-tickets/articleshow/119603958.cms
FIFA Club World Cup 2025 announces record $125M prize as teams compete for $1B fund,"The 2025 FIFA Club World Cup in the US will feature a massive $1 billion prize pool, with the winning team earning a record-breaking $125 million. Clubs from Europe, South America, Africa, Asia, and North America will receive guaranteed payments, while performance-based bonuses will further boost earnings. The tournament will run from June 14 to July 13.","27 Mar, 2025, 12:51 AM IST",https://economictimes.indiatimes.com/news/international/us/fifa-club-world-cup-2025-announces-record-125m-prize-as-teams-compete-for-1b-fund/articleshow/119555126.cms
Grammy winner Zach Bryan to perform in Huntington on August 30; here’s how to get tickets,"Zach Bryan, who bagged the Grammy award for Best Country Duo/Group Performance for his single I Remember Everything last year, is scheduled to perform at the Joan C. Edwards Stadium in Huntington, West Virginia at the end of August. Here's how fans of the singer can book tickets for the upcoming live event.","25 Mar, 2025, 10:09 PM IST",https://economictimes.indiatimes.com/news/international/us/grammy-winner-zach-bryan-to-perform-in-huntington-on-august-30-heres-how-to-get-tickets/articleshow/119490318.cms
"Jonas Brothers MetLife concert 2025: All you need to know about date, tickets and JonasCon","The Jonas Brothers are set to kick off their Jonas 20: Living The Dream Tour on August 10 at MetLife Stadium in New Jersey. Alongside the tour, they have released their new single, Love Me To Heaven, and also announced JonasCon, a fan event at American Dream Mall. Nick Jonas will also be seen on Broadway in Last Five Years.","22 Mar, 2025, 01:10 AM IST",https://economictimes.indiatimes.com/news/international/us/jonas-brothers-metlife-concert-2025-all-you-need-to-know-about-date-tickets-and-jonascon/articleshow/119317027.cms
Latest claim settlement ratios of all Indian life insurance companies in 2025; Axis Max and HDFC retain top spot with over 99%; Reliance Nippon lags at 94%,"The IRDAI has released the claim settlement ratios of all Indian life insurers for FY 2023-24, revealing that 96.82% of life insurance policy claims are settled within 30 days. Notably, private insurers like Aditya Birla and Tata AIA achieved a higher claim settlement around 99% than LIC, which stood at 96.42%. Axis Max Life Insurance and HDFC achieved top spots, with over 99% claim settlement ratio, in terms of the number of policies, while LIC, ICICI Prudential, and Reliance Nippon remained laggards.","08 Mar, 2025, 11:37 AM IST",https://economictimes.indiatimes.com/wealth/insure/life-insurance/latest-claim-settlement-ratios-of-all-indian-life-insurance-companies-in-2025/articleshow/118762508.cms
Is the US prepared to host World Cup 2026? Here are the challenges it could face,"The 2026 World Cup will include 48 teams and will finish with the final on July 19, 2026 at MetLife Stadium in New Jersey. The tournament will begin at Mexico City's famous Estadio Azteca, with the United States' first match scheduled for the following day in Southern California.","06 Mar, 2025, 09:27 PM IST",https://economictimes.indiatimes.com/news/international/us/is-the-us-prepared-to-host-world-cup-2026-here-are-the-challenges-it-could-face/articleshow/118765988.cms
"Zach Bryan to perform at Notre Dame Stadium on September 6, calls it his ‘one of his last shows’",Musician and singer Zach Bryan may soon be quitting tours as he has announced the schedule of what he called as one of his last shows. The country music artist will team up with Shane Gillis and Dermot Kennedy as he will perform at the Notre Dame Stadium on September 6 this year.,"05 Mar, 2025, 01:27 AM IST",https://economictimes.indiatimes.com/news/international/us/zach-bryan-to-perform-at-notre-dame-stadium-on-september-6-calls-it-his-one-of-his-last-shows/articleshow/118718223.cms
"M Pallonji Group, True North's Sehgal seek IRDAI nod for general insurance venture","M Pallonji Group and Divya Sehgal of True North have sought regulatory consent to establish a general insurance venture. If sanctioned, M Pallonji will hold 51% stake and launch with an initial ₹200 crore investment. This move marks a significant corporate-backed entry in India's insurance sector.","05 Mar, 2025, 12:21 AM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/m-pallonji-group-true-norths-sehgal-seek-irdai-nod-for-general-insurance-venture/articleshow/118717430.cms
PNB MetLife unveils “Aapka aage ka plan kya hai” campaign and Inspiring thoughtful retirement planning and financial security,Content not available,"27 Feb, 2025, 07:00 PM IST",https://economictimes.indiatimes.com/news/india/pnb-metlife-unveils-aapka-aage-ka-plan-kya-hai-campaign-and-inspiring-thoughtful-retirement-planning-and-financial-security/articleshow/118606462.cms
"Beware of scammers offering you Beyonce’s Cowboy Carter tour tickets, warns Ticketmaster","As Beyonce’s Cowboy Carter Tour is set to begin in a couple of months, Ticketmaster has warned fans of potential ticket scams.","07 Feb, 2025, 10:39 PM IST",https://economictimes.indiatimes.com/news/international/us/beware-of-scammers-offering-you-beyonces-cowboy-carter-tour-tickets-warns-ticketmaster/articleshow/118030347.cms
Beyoncé Celebrates ‘Cowboy Carter’ Grammy Win with MetLife Shows,"Beyoncé announces her Cowboy Carter tour dates, including MetLife shows, following her Grammy win, bringing excitement to fans with new performances.","04 Feb, 2025, 12:11 AM IST",https://economictimes.indiatimes.com/news/international/us/beyonc-celebrates-cowboy-carter-grammy-win-with-metlife-shows/articleshow/117894540.cms
"Beyoncé’s Cowboy Carter Tour: Circuit stops, dates, tickets. Here's all you need to know","Beyoncé Knowles-Carter announces a highly anticipated Cowboy Carter and the Rodeo Chitlin’ Circuit Tour starting April 28, 2025, in Los Angeles. The country-inspired tour, fueled by her Southern roots and success of the Renaissance album, features exclusive presale opportunities and high-demand tickets for her performances across the U.S., UK, and France.","03 Feb, 2025, 11:30 PM IST",https://economictimes.indiatimes.com/magazines/panache/beyoncs-cowboy-carter-tour-circuit-stops-dates-tickets-heres-all-you-need-to-know/articleshow/117893709.cms
India Post Payments Bank and PNB MetLife partner to expand life insurance access nation wide,"India Post Payments Bank (IPPB) and PNB MetLife India Insurance Company Limited have partnered to offer life insurance solutions to millions across India. This collaboration aims to promote financial inclusion by providing life insurance products through IPPB's extensive network and reaching underserved populations, ensuring better financial security for customers.","30 Jan, 2025, 01:47 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/india-post-payments-bank-and-pnb-metlife-partner-to-expand-life-insurance-access-nation-wide/articleshow/117729050.cms
PNB MetLife announces Rs 594 crore bonus to policyholders for FY22,"The insurer said it has been consistently declaring bonuses on participating products every year, and the bonus amount for FY22 is 12 per cent higher than that of FY21. This bonus sum will benefit 4.95 lakh customers whose policies were in force as of 31st March 2022, PNB MetLife said in a release.","14 Jul, 2022, 10:13 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/pnb-metlife-announces-rs-594-crore-bonus-to-policyholders-for-fy22/articleshow/92881473.cms
MetLife to hike stake in India JV to over 42%,"New York-based insurer MetLife is set to increase its stake in its Indian life insurance joint venture PNB MetLife by acquiring 15.27% held by the Dabriwala family, for Rs 1,906 crore, the firm announced on Monday. The move, which values PNB MetLife at around Rs 12,480 crore, will be subject to regulatory approvals from both the Competition Commission of India and the Insurance Regulatory and Development Authority of India (Irdai).","05 Oct, 2021, 06:49 AM IST",https://economictimes.indiatimes.com/markets/stocks/news/metlife-to-hike-stake-in-india-jv-to-over-42/articleshow/86767751.cms
"Metlife plans to raise its stake in Indian venture; acquire stake of IGE, Elpro",MetLife said it had entered into an agreement with IGE India and Elpro International to acquire their combined stake of 15.27% in PNB MetLife India Insurance Company Limited. The deal will boost MetLife's stake in PNB MetLife to more than 47%.,"04 Oct, 2021, 09:17 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/metlife-plans-to-raise-its-stake-in-indian-venture-acquire-stake-of-ige-elpro/articleshow/86759189.cms
PNB MetLife announces Rs 532 cr bonus for policyholders in FY21,"PNB MetLife said it has been consistently declaring bonus on participating products every year and 4.6 lakh customers, whose policies are in force as of March 31, 2021, will be benefiting from this bonus.","16 Jul, 2021, 05:02 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/pnb-metlife-announces-rs-532-cr-bonus-for-policyholders-in-fy21/articleshow/84472811.cms
MetLife likely to raise stake in life insurance venture with PNB,PNB MetLife had filed for an IPO in August with the idea to list in January.,"31 Jan, 2019, 07:59 AM IST",https://economictimes.indiatimes.com/markets/stocks/news/metlife-likely-to-raise-stake-in-life-insurance-venture-with-pnb/articleshow/67766197.cms
PNB MetLife plans to sell 24.64% via IPO,PNB Metlife will become the fourth life insurer to list on the bourses.,"28 Jul, 2018, 08:34 AM IST",https://economictimes.indiatimes.com/markets/ipos/fpos/pnb-metlife-plans-to-sell-24-64-via-ipo/articleshow/65172509.cms
PNB MetLife to sell policies to Baharain Bank customers,"As a part of this tie-up, PNB MetLife will offer its wide array of best-in-class and innovative insurance solutions to BBK's India customers spread across its branches, said PNB MetLife.","10 Nov, 2017, 06:03 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/pnb-metlife-to-sell-policies-to-baharain-bank-customers/articleshow/61595340.cms
PNB MetLife appoints Ashish Kumar Srivastava as MD and CEO,Ashish joined PNB MetLife in 2013 as the Head of Human Resources before subsequently moving to Dubai in 2015 to take charge of Human Resources for the MetLife Middle East and Africa (MEA) region.,"09 Oct, 2017, 12:53 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/pnb-metlife-appoints-ashish-kumar-srivastava-as-md-and-ceo/articleshow/61002909.cms
