headline,full_content,published_date,year,month,url
"PNB MetLife, Religare Health tie up","PNB MetLife India Insurance Co. Ltd. has tied-up with Religare Health Insurance to offer a product that would cover health, death and illness, said a top official.

“We have tied up with Religare Health Insurance, wherein we will bundle and sell their health insurance policy with our life insurance policy,” said Sameer Bansal, chief distribution officer, PNB MetLife India Insurance Co. Ltd.

“The product will be offered during mid-December. It will be a seamless integration [exercise] to ensure that it comes as a single policy to a customer,” Mr. Bansal said.The tie-up will offer additional earning opportunity for the life insurer’s distribution channel partners,” he said.

Asked about the growth plans, he said for FY20 the life insurer had set target of 18-20% growth in top-line, increasing the number of branches from 107 to 200 in two years and policy renewal ratio from 78% to 81%.

Talking about the Tamil Nadu business, he said it was the fourth largest life insurance market for the firm after Maharashtra, New Delhi and Karnataka. The life insurer secured about 3% of its premium from Tamil Nadu, which was low and plans were on to raise it further.

“Since the base in Tamil Nadu is small, we are posting good growth. We have aggressive plans for Tamil Nadu to expand base and to appoint more agents,” he said.

PNB MetLife ended FY19 with a total premium (including renewal premium) of about ₹4,000 crore and in the first five months of the current year it has done ₹1,200 crore, registering 18%-20% growth. “Despite slowdown, we are on track,” he added.

Published - September 26, 2019 10:39 pm IST

insurance",26-Sep-19,2019,September,https://www.thehindu.com/business/pnb-metlife-religare-health-tie-up/article29522716.ece
Tata AIA to buy 70 per cent stake in PNB Metlife,"According to the minutes of a board meeting, Tata Sons along with it’s partner AIA Group will place a non-binding bid to acquire a 70 per cent stake in PNB Metlife up to the tune Rs 2,700 crore and then merge it with Tata AIA Life Insurance Company.

This decision was made during the board meeting held on October 24, the details of which have been filed as part of Cyrus Mistry’s petition against the Trust in the National Company Law Tribunal (NCLT).

In PNB Metlife,

MetLife International Holdings LLC holds 26 per cent stake,

Elpro International holds 21 per cent

M Paloonji & Company holds18 per cent stake

Jammu & Kashmir Bank Limited holds 5 per cent stake held by and

The remaining 30 per cent stake is held by Punjab National Bank.

M Pallonji and Company is owned by Ratan Tata’s friend and Mr. Mistry’s relative Mehli Mistry.

Mr. Ishaat Hussain, a Tata Sons board member and also chairman of Tata AIA Life Insurance Company in the board meeting after Mr. Mistry’s ouster proposed a deal structure under which Tata, along with AIA, will buyout the existing stake of all stake holders in PNB Metife, aggregating to 70%, other than Punjab National Bank Limited, followed by a merger of the two insurance entities.

As per the deal structure, PNB will sell its stake in the merged entity through a ‘put’ option within three years or Tata Sons and AIA can exercise a ‘call’ option in four to five years post merger.

The initial outgo from Tata Sons would be in range of Rs. 1,500 crore to Rs. 2,700 crore with Tata Sons holdings in Tata AIA Life Insurance Company is expected to dilute from 51 per cent to 45 per cent post this deal.

Tata AIA Life Insurance Company Limited (Tata AIA Life) is a joint venture company, formed by Tata Sons Ltd. and AIA Group Ltd. (AIA). Tata Sons holds a majority stake (51 per cent) in the company and AIA holds 49 per cent through AIA International Limited. The company started operations in April 2001 aims to secure the lives of 3 Million consumers by 2020.

PNB MetLife has also been present in India since 2001 over 150 locations across the country and serves customers in more than 7,000 locations through its bank partnerships with PNB, JKB and Karnataka Bank Limited.

When asked to comment, a Tata AIA spokesperson in an email reply said, “As a company policy, we do not comment on market rumours.” A mail sent to PNB Metlife spokesperson seeking comments failed to illicit any response.

Early this year, Max Financial Services and Max Life announced it plans to merge with HDFC Life, while L&T General plans to merge into HDFC ERGO General Insurance.

Published - December 22, 2016 02:14 pm IST

economy, business and finance
                    
                            /                      
                        
                        merger, acquisition and takeover",22-Dec-16,2016,December,https://www.thehindu.com/business/Industry/Tata-AIA-to-buy-70-per-cent-stake-in-PNB-Metlife/article16924109.ece
Sindhu is PNB MetLife brand ambassador,"PNB MetLife, a life insurance company, signed P.V. Sindhu as its brand ambassador. She is respected by contemporaries, created a fan following across generations with athleticism and aggression on court. The shuttler conquered some of the biggest names in women’s badminton.

The endorsement extends to various initiatives dealing with women’s empowerment organised by the insurance company, more importantly a national-level open tournament, named the PNB MetLife junior badminton championship, aimed at spotting budding age-group talents and support for the exceptionally talented.

According to the firm, Sindhu will support various initiatives under project Damini, a CSR initiative intended to empower girls at every stage of the journey into womanhood.

She expressed happiness at the decision to team up with the company. She drew a parallel with the support she got at the right time to explore her talent.

PNB Metlife Chief Marketing Officer, Nipun Kaushal, spoke at the event.

Published - January 31, 2019 09:49 pm IST",31-Jan-19,2019,January,https://www.thehindu.com/sport/other-sports/sindhu-is-pnb-metlife-brand-ambassador/article26141598.ece
PNB MetLife declares ₹930 crore bonus for FY24,"Life insurer PNB MetLife has declared ₹930 crore bonus for FY24, a payout that will benefit 5.82 lakh customers.

Compared with the bonus in the previous fiscal this is 21% more. The number of eligible beneficiaries has increased by 30,000 compared to FY23.

“The ₹930 crore bonus declaration this year reinforces our commitment to generate the best possible outcomes for our customers’ financial security and long-term prosperity. Life insurance policies are designed for the long term and participating insurance products allow us to reward customers throughout the policy term,” said Sanjay Kumar, Chief Investment Officer.

Published - June 13, 2024 08:34 pm IST",13-Jun-24,2024,June,https://www.thehindu.com/business/pnb-metlife-declares-930-crore-bonus-for-fy24/article68285994.ece
PNB MetLife launches VR-based customer service platform,"Private life insurance firm PNB MetLife on Monday launched a virtual reality-based customer service platform.

Customers need to visit select PNB MetLife branches and wear the VR headset to get their service requirements addressed. Assisting them in this process would be an insurance expert based out of another location. The platform would display policy related information and engage customers through visual assist elements like animation, the company said.

It is the first-of-its-kind in the insurance sector, Insurance Regulatory and Development Authority of India (IRDAI) member (life) Nilesh Sathe said at an event in the city after IRDAI Chairman T.S. Vijayan launched the facility.

The conVRse platform would initially be available in 15 branches across 10 cities — Delhi, Mumbai, Hyderabad, Bengaluru, Kolkata, Jammu, Chandigarh, Lucknow, Ahmedabad, and Pune. Noting that the company has been experimenting with the VR facility in Delhi for six months now, PNB MetLife managing director and CEO Tarun Chugh said the company would be extending the facility to all the 130 branches in phases and then eventually to customers homes.

Counting the advantages, Mr. Chugh said it would help customers be better informed about their policy and reduce misselling. He expected the facility to become popular as the price of the headsets is on the decline. From Rs. 33,000 a few years ago, the cost hovers around Rs. 7,500 a device, and was expected to come down further.

Mr. Vijayan said IRDAI was keen on customers getting the best service, irrespective of whether they were in rural or urban areas. The developments in technology, he said, should make it happen.

Insurance sector has been a bit slow in adopting technology, Mr. Sathe said. “Going forward, traditional insurance companies will find it difficult if they do not adopt technology.”

Later, to a query he replied that the growth in new business premium till November was 38 per cent and was expected to be 20 to 25 per cent by the end of the fiscal.

Published - December 20, 2016 12:21 am IST

insurance
                    
                            /                      
                        
                        business (general)
                    
                            /                      
                        
                        Hyderabad
                    
                            /                      
                        
                        Telangana",20-Dec-16,2016,December,https://www.thehindu.com/news/cities/Hyderabad/PNB-MetLife-launches-VR-based-customer-service-platform/article16907362.ece
Forum directs MetLife to offset Rs. 16.72 lakh loan,"Terming the insurance company’s rejection of a claim as ‘unjust and improper’, the District Consumer Disputes Redressal Forum-III, Hyderabad, directed MetLife India Insurance Company Limited to offset the outstanding amount on a loan of Rs.16.72 lakh taken by a consumer.

The consumer forum also ruled that rejecting the claim amounted to deficiency of service, and asked the company to pay a compensation of Rs. 50,000.

The order passed on June 9 was the result of a petition filed by Surekha Nallwar, a resident of Khairatabad, who approached the Forum after MetLife Insurance Company Limited rejected an insurance claim for a policy taken by her son N. Praveen Kumar, for which she was the only nominee.

The single premium policy was taken on October 31, 2008, for a sum of Rs. 22,025.

The said policy was taken to offset any outstanding payments on a housing loan amount of Rs. 16,72,025 taken by Mr. Kumar, and it covered his property and life.

The last EMI of Rs. 9,494 was paid by Mr. Kumar on January 7, 2009, on the loan. The next day, Mr. Kumar collapsed due to a seizure, after which he was rushed to Global Hospital at Lakdikapul.

After check-up and tests were done on Mr. Kumar, he was asked to come for a review to the hospital on January 22. However, he died on January 20 itself due to a ‘cardio respiratory arrest’.

After that, his mother, the complainant, approached the insurance company to claim the amount required for the loan on grounds of accidental death.

However, Ms. Nallwar’s request was rejected by the company, which stated that her son had died on the 82{+n}{+d}day after he took the policy, before completion of the 90-day waiting period.

In response to her complaint, MetLife Insurance Company Limited said that since Mr. Kumar’s death was caused due to a ‘cardio respiratory arrest’ and was not an accident.

It pointed out that the policy stated that during the waiting period, benefits will not be paid ‘on death to causes other than accident’.

After going through all the evidence at hand, the Forum however ruled that the company was at fault and liable to pay Ms. Nallwar the remaining amount of the housing loan, along with a compensation of Rs.50,000.

The ruling bench noted that “even on compassionate grounds the insurer ought to have not taken a technical objection for a mere 8 days short of the stipulated 90 days.”

Published - June 19, 2016 12:00 am IST",19-Jun-16,2016,June,https://www.thehindu.com/news/cities/Hyderabad/Forum-directs-MetLife-to-offset-Rs.-16.72-lakh-loan/article14431195.ece
PNB MetLife comes to badminton’s aid,"The title sponsor of the Indian Badminton Super Series for 2014-2017, PNB MetLife, in partnership with Badminton World Federation (BWF), has given a booster to grassroots-level badminton by announcing a three-year engagement with juniors in the 9-15 age group from this year.

PNB MetLife has unveiled the junior badminton championship (JBC) that will be initially held in Delhi, Mumbai, Kolkata and Bengaluru in February-March.

After the four-zonal competitions the final will be held in Delhi. The PNB MetLife JBC has the blessings of the Badminton Association of India (BAI) and it will be conducted in association with Sara Foundation.

“The top eight children will be awarded scholarships for training at reputed badminton academies, scholarships will be given to underprivileged children and 1000 housing societies and 150 corporates will be targeted for the development of badminton,” said PNB MetLife MD & CEO Tarun Chugh at a media conference here on Wednesday.

NGO Child Rights & You (CRY) will be part of this badminton initiative; it already works with the company and their programmes have touched the lives of 12,000 children in Jammu & Kashmir and Karnataka.

“The objective is to search for the future champions from among school children. We aim to target 3000 school children. The 16 zonal winners will be taken to Delhi to witness the BWF Super Series from March 24 to 29,” said Chugh.

Para badminton world No. 1 Anand Kumar said: “Badminton is a popular sport, but the players find it difficult to access sponsors and right training.” The company will assist Anand Kumar to take part in the Spanish para badminton international to be held in March.

The JBC will be run with the slogan ‘Hunt for the future badminton star of India’, and it has the support of former All England champion P. Gopichand, H.S. Prannoy, Sameer Verma, Shlok Ramachandran, Siki Reddy, Tanvi Lad, Sayali Gokhale, Neha Pandit, Arundhati Pantawane and Mohita Sehdev.

The JBC has already has received 2000 on line entries at         >www.mycity4kids.com         and         >www.playforhappiness.in         .

Published - February 05, 2015 06:29 pm IST

badminton
                    
                            /                      
                        
                        sport",05-Feb-15,2015,February,https://www.thehindu.com/sport/other-sports/pnb-metlife-comes-to-badmintons-aid/article6861157.ece
PNB Metlife launches AI-powered customer service app,"Life insurer PNB Metlife has unveiled an Artificial Intelligence (AI)-powered customer service app ‘Khushi’. The app is designed to be a one-stop shop providing insurance-related information, anytime, anywhere, such as policy features, premium due details besides providing fund value and portfolio details. It has the ability to understand customer intent and provide tailored responses, the company said.

Khushi can interact with customers via text as well as speech. When requested, the app can also locate the nearest PNB MetLife branch, arrange a call back from call centre representatives, fix an appointment with an advisor and much more, according to the company.

The app, which is available for android phones, has been built by MetLife’s innovation center - Lumen Lab — in Singapore with PNB MetLife in India.

Unveiling the app, managing director and CEO of PNB MetLife Ashish Srivastava said the AI-powered app would deliver enhanced customer experience. “We will continue our digitisation efforts and explore innovative platforms as traditional ways of selling insurance and servicing customers evolve,” he said in a release.

In 2016, the company had launched ‘conVRse’, virtual reality (VR) service platform as well as ‘eBranch’, a paperless digital platform enabling real time transfer of information. Going forward, PNB MetLife would upgrade Khushi to include other languages and IOS devices, the release said.

Chief information officer Samrat Das said the app would play a role of an assistant to the users and designed in such a way that it required minimum bandwidth.

Published - October 22, 2018 10:56 pm IST",22-Oct-18,2018,October,https://www.thehindu.com/business/Industry/pnb-metlife-launches-ai-powered-customer-service-app/article25290512.ece
Junior Badminton Championships: Smit stuns Simran for title,"Smit Toshniwal (Nashik) overcame favourite Simran Singhi (Mumbai) in girls U-15 category final, winning 21-15, 18-21, 21-15 at the PNB MetLife Junior Badminton Championship 2015 West Zone Tournament. Other age-group champions were: Rohan Gurbani (boys U-15), Taarini Suri (girls U-9), Tasnim Mir (girls U-11).

The tournament was organised by Sara Foundation and PNB MetLife India, under the auspices of Maharashtra Badminton Association. According to organizers, all quarter-finalists in each category qualified for the inter-zonal Grand Finale, to be held in New Delhi later this month.

Results

Finals:

Girls U-9:         Taarini Suri (Mumbai) bt Ananya Naidu (Thane) 21-4, 21-4. U-11: Tasnim Mir (Mehsana) bt Tara Shah (Pune) 21-15, 21-9. U-13: Aarya Deshpande (Satara) bt Tasnim Mir (Mehsana) 21-17, 21-10. U-15: Smit Toshniwal (Nashik) bt Simran Singhi (Mumbai) 21-15, 18-21, 21-15.

Boys U-9 :         Parth Deore (Nashik) bt Vansh V Rohit (Bharuch) 21-19, 20-22, 21-12; U-11: Nitin Shinde (Islampur) bt Prajjwal Sonawane (Nashik) 21-12, 15-21, 21-8. U-13: Tanishq Saxena (Mumbai) bt Ameya Khond (Nashik) 21-15, 21-9. U-15: Rohan Gurbani (Nagpur) bt Aniruddh Sinh Kushwaha (Valsad) 21-13, 21-15.

Semi-finals

Girls - U-9:         Taarini Suri (Mumbai) bt Rashi Hegde (Mumbai) 21-7, 21-5; Ananya Naidu (Thane) bt Sarah Susan George (Mumbai) 21-8, 21-9.

U-11:         Tasnim Mir (Mehsana) bt Aalisha Naik (Mumbai) 21-11, 21-9; Tara Shah (Pune) bt Vedika Diwan (Nashik) 21-13, 21-11.

U-13:         Aarya Deshpande (Satara) bt Rudra Shyam Rane (Mumbai) 21-17, 21-17; Tasnim Mir (Mehsana) bt Hrissha Dubey (Mumbai) 21-13, 21-10.

U-15:         Simran Singhi (Mumbai) bt Nupur Anand Vasavada (Vadodara) 21-10, 21-10 ; Smit Toshniwal (Nashik) bt Janhvi Khanna (Vadodara) 21-12, 16-21, 21-15.

Boys - U-9:         Parth Deore (Nashik) bt Ojas Ranjit Gedam (Akola) 14-21, 21-19, 21-15; Vansh V Rohit (Bharuch) bt Rohan Barve (Mumbai) 21-8, 21-16.

U-11:         Nitin Shinde (Islampur) bt Harsh Girish Pawar (Mumbai) 21-11, 21-14; Prajjwal Sonawane (Nashik) bt Siddhartha Das (Navi Mumbai) 22-20, 21-8.

U-13:         Tanishq Saxena (Mumbai) bt Aryan Hosangady (Mumbai) 21-8, 21-9; Ameya Khond (Nashik) bt Dhruv Oza (Mumbai) 21-18, 21-9.

U-15:         Aniruddh Sinh Kushwaha (Valsad) bt Pranava Jain (Mumbai) 17-21, 21-13, 21-17; Rohan Gurbani (Nagpur) bt Rahul Kane (Kolhapur) 22-20, 21-12.

Published - March 07, 2015 07:31 pm IST

badminton",07-Mar-15,2015,March,https://www.thehindu.com/sport/other-sports/junior-badminton-championships-smit-stuns-simran-for-title/article10713403.ece
"Badminton | Consistency will be the key in the Asian Games, says Satwiksairaj","The upcoming Asian Games in China is like a Mini Olympics and the competition will be really tough, especially in doubles, according to R. Satwiksairaj.

In an informal chat at the unveiling of the trophy for the PNB-Metlife Trophy junior badminton championship to be held in Hyderabad in October, the champion doubles shuttler said the chances of a medal could be 50-50.

“It is never going to be easy. We cannot take anyone lightly. And, I don’t think numbers matter (being World No. 3 along with his partner Chirag Shetty),” he said.

“Consistency will be the key as we aim to do well in what is also the second Asian Games for us. We don’t want to think too much other than taking it match by match as always to avoid any sort of pressure,” Satwik said.

“The mantra for our success is that results have been excellent after we started spending more time together off the court. The chemistry is superb. We speak to each other in a very free and frank manner. There is nothing to talk behind each other. And, we know our job better,” he explained.

“In majors like the Commonwealth Games, and Worlds we play our hearts out and it will be no different in the coming Asiad. It is not that we don’t give 100 per cent in other tournaments. But, definitely there will be more than 100 in these championships,” Satwik said.

Also read | India’s Rankireddy and Shetty triumph in Indonesia Open, create history

For his part, Chirag said that they won the Indonesian Open title after a couple of early round losses in the events preceding that major.

“So, I don’t think we are too concerned about our recent results,” he said.

“Right from the day our journey began as doubles players, we kept things simple. Treat both wins and losses on par. We will be neither really happy after a win nor extremely sad after a loss. Every day is a new day with fresh challenges,” Chirag said.

“Personally, it is a nice feeling to be World No. 3 but again as Satwik said, these things don’t matter though we would be definitely happy to be World No. 1,” he said.

Congratulations to #IndianOil's dynamic duo of @satwiksairaj and @Shettychirag04 for the spirited, gritty win at the #KoreanOpen2023! 🏆🏸 Boys, your winning streak has brought immense joy to us and the country. Your comeback proved that champions are undeterred by setbacks.… pic.twitter.com/zs0uae06ce

The duo, mentors at PNB Metlife, said they owed a lot to their parents and family members who never put any kind of pressure on them.

“In fact, my mother often tells me not to get disappointed after a loss as the parents of the other players could be praying for their sons’ success,” Chirag said with a big smile.

Published - September 15, 2023 06:27 pm IST

badminton
                    
                            /                      
                        
                        Summer Asian Games
                    
                            /                      
                        
                        Olympics
                    
                            /                      
                        
                        China
                    
                            /                      
                        
                        India
                    
                            /                      
                        
                        international tournament
                    
                            /                      
                        
                        regional championship
                    
                            /                      
                        
                        world championship
                    
                            /                      
                        
                        Commonwealth Games
                    
                            /                      
                        
                        Commonwealth Games
                    
                            /                      
                        
                        Indonesia",15-Sep-23,2023,September,https://www.thehindu.com/sport/other-sports/badminton-consistency-will-be-the-key-in-the-asian-games-says-satwiksairaj/article67311173.ece
