url,published_date,headline,h2,full_content
https://www.livemint.com/insurance/news/mint-bfsi-summit-100-fdi-in-insurance-health-insurance-insurance-penetration-innovation-reinsurers-tax-incentives-11737118260595.html,5 min read.17 Jan 2025,Mint BFSI Summit | 100% foreign direct investment in insurance in the works,Irdai is considering raising foreign direct investment in India's insurance sector from 74% to 100%—a move that would not only improve insurance penetration but also attract more foreign insurers to the country. | Innovation for deeper coverage | Health insurance: the missing middle | The need for more reinsurers,"Mumbai: The Insurance Regulatory and Development Authority of India is considering a proposal to increase foreign direct investment in the insurance sector to 100% from 74% now, Deepak Sood, member of Irdai, said at the 17th edition of the Mint BFSI Summit and Awards on Friday. Allowing 100% FDI in insurance may not only open the floodgates for offshore capital to enter India but also facilitate the entry of new foreign insurers, helping the country enhance insurance penetration to achieve the government’s goal of “Insurance for all by 2047”. There are 26 life and 32 general insurers in India, with most private sector players operating through a joint venture with a foreign partner. “When we talk about insurance for all by 2047, it really means every individual has at least a health policy, a life insurance policy, and a property policy that covers his home and his business. Most recently there is a proposal from the government to increase FDI insurance to 100%. Irdai is working on it,” Sood said. The regulator increased the FDI limit in insurance from 49% to 74% in 2021. The plan to raise it further aligns with its goal to widen the reach of insurance so every Indian citizen in the country is covered by some type of insurance by 2047. “Irdai is working on increasing the number of players in the country so that there is a deeper penetration and we can expect more and more coverage,” said Sood. The Irdai member added that the government could help enhance insurance coverage in the country by incentivizing offering tax benefits or subsidies. Also read | Is a GST rate cut for insurance good news? At the Mint BFSI Summit, Sood urged the insurance industry to rethink their distribution models to ensure a deeper market penetration, as well as to develop new products to address different needs and risks. Over the past two years, Irdai has reformed the product use and file process to encourage innovation in the insurance industry, he said, adding that a key innovation to enhance insurance penetration without increasing mis-selling was Irdai’s introduction of the “consumer information sheet”. “This document gives in very simple terms the coverage (and) the key points of the insurance policy that make the policyholder aware of what he is going to buy,” Sood said. “There are always a lot of grievances that the customer doesn’t know what he is buying since the details are in the fine print. This is specifically in that direction to address the issue and make clear to the customer what insurance he is buying.” Another key initiative is Bima Sugam—“an electronic insurance marketplace which aims at bringing all stakeholders in the value chain on one platform”. Sood said Bima Sugam was launched to align with the regulator’s ambition to increase efficiency, improve transparency, make more products available, enhance services, deepen penetration, and make claims settlement easier to get India closer to insurance for all by 2047. Also read | India’s self-employed: Bridging the insurance gap with tech-enabled solutions Sood also urged India’s insurance industry to enhance health insurance coverage in the country. The insurance regulator has made cashless settlements, pre-authorization within one hour of request, and discharge of post-authorization duties within three hours of claim mandatory. “There are penalties if the insurer fails to adhere to these norms. These measures are meant to make the claim process easy in health insurance. It is supported by a robust grievance handling mechanism,” said Sood. He added that while government schemes have covered a vast lower-income population and people with high income are able to afford insurance, the industry was missing out on the mass in the middle. “We have to work towards bringing a new approach, customised products, and developing new methodologies for distribution across new types of groups and do whatever it takes to address this missing middle-income group. Otherwise, a vast population remains without health insurance coverage,” said Sood. Also read | Insurers may get to sell related non-insurance value added products and services but not MFs Sood also highlighted the need for more domestic reinsurers amid emerging geopolitical risks and increasing natural disasters. “... there is decreasing capacity in the reinsurance market. We need to work on ways to increase domestic capacity, which can be brought about by the introduction of new players,” he said. Sood added that the industry needed to rethink ways to handle the “increasing number and severity of natural catastrophic events”. “We need to build capacity and new kinds of parametric products, which will make it easier for people to not only take insurance against these perils but also to be able to claim when such natural catastrophes strike,” Sood said. “We need to expand reinsurance capacity in this market so that we are able to handle more and more such events and be self-reliant.” Also read | A tech solution to crop insurance woes? Sood added that Irdai was working towards introducing a risk-based capital regime. “This will benefit both insurers and the market and assign capital to the appropriate risk. As we see more and more complex risks coming in, insurers will be able to better utilize and manage their capital.” He also urged insurers in India to work on better ways to deal with cyber risks. “The worst thing about cyber risk is it is not known where does it start and where does it attack,” said Sood. “We are carrying devices in our pockets and that is the way we are exposing ourselves to these risks. We have to develop methods to safeguard against these kind of risks.” With the evolution of quantum computing the face of such risk will again change “and it will be upon us in a much more complex way”, the Irdai member said. “We need to build measures to protect each individual, and if you are struck by it you see that you are protected through insurance.” Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/world-heart-day-2024-your-health-insurance-claim-related-to-heart-disease-can-be-rejected-due-to-these-reasons-11727570229637.html,3 min read.29 Sep 2024,World Heart Day 2024: Your health insurance claim related to heart disease can be rejected due to THESE reasons,"On World Heart Day 2024, experts highlight that non-disclosure of pre-existing conditions and waiting periods often result in health insurance claim rejections for heart disease treatments in India | World Heart Day 2024: Why can your health insurance claim for heart disease treatment be rejected? | How can the chances of such rejections be reduced while making a policy? | What should you do if the insurance claim is rejected?","World Heart Day 2024: India remains one of the leading contributors to cardiovascular disease-related deaths and disabilities in the world, according to a Lancet survey. Early onset of heart-related disease among Indians may lead to higher treatment costs, including medications and hospitalisation, which can be covered under comprehensive health insurance. However, claims related to the treatment of heart disease are often rejected due to certain factors. On World Heart Day 2024, let's understand the key reasons for rejecting health insurance claims related to heart ailments. Several factors, including non-disclosure of pre-existing disease (PED), waiting period, exclusion of specific treatments, etc., can lead to the rejection of health insurance claims, especially those related to heart disease treatments. Learn about the key reasons from health industry experts. Manish Dodeja, Head of Claims & Underwriting, Care Health Insurance, warned that it is always advisable for people to disclose their health conditions when taking health insurance. Failure to do so may lead to rejection of claims in the future. Conditions like high cholesterol, hypertension, and high blood sugar levels, if not disclosed at the time of taking health insurance, may become a reason for health insurance claim rejection. “We have seen cases of non-disclosure of pre-existing conditions. For example, if somebody has been suffering from a heart condition or had a medical history related to the heart or any other condition that has not been disclosed to the insurance company. In that scenario, the insurance company may reject the claim, citing non-disclosure,” said Siddharth Singhal, Business Head of Health Insurance at Policybazaar.com. “Health Insurance policies have a waiting period for specific diseases, including those cardiovascular conditions. Claims made before the completion of this waiting period are rejected,” said Dodeja. Singhal explained the claim rejection cases due to waiting periods with an example: “If a person declares that he has a heart condition, then the insurance company would initially put a waiting period of three years. If the person claims for a heart disease treatment within three years, the insurance company obviously does not consider the claim favourable.”  He also advised people with a medical history to carefully consider the waiting period before taking insurance and consider the option of reducing the waiting period by remarkable riders available with several health insurance providers. A few medications and treatments fall out of the ambit of health insurance coverage. “Some health insurances may not cover certain specified procedures, medication. A thorough understanding of such exclusion is critical before purchasing a policy,” said Dodeja. Most heart disease treatments are covered by standard health insurance, but some expensive and rare treatments can be excluded from certain schemes.  Experts have underlined a few points to avoid claim rejection related to heart disease treatment: Complete disclosure of health conditions, knowledge of policy coverage, proper understanding of the waiting period, opting for specialised health insurance, preferring network hospitals for treatment, etc. “If your Health Insurance claim is rejected, the first step is to carefully review the rejection letter to understand the reason behind the denial, which could be due to missing documentation or policy-related issues. Once you have the clarity, you can appeal to your insurer, providing the additional documentation or correcting errors in your submission, in case that is the reason for rejection,” said Manish Dodeja. “If policyholders are unhappy even after contacting insurers,they can approach theInsurance Ombudsman. If insurers are still unsatisfied with the claim,they can also take the matter to court,” noted Singhal. Disclaimer: The views and recommendations made above are those of individual analysts, and not of Mint. We advise investors to check with certified experts before taking any investment decisions Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/women-term-plan-buyers-number-surged-80-per-cent-in-two-years-with-preference-growing-for-higher-cover-11726046896378.html,2 min read.11 Sep 2024,"Women term insurance purchases surge 80% in 2 years, smaller cities see rise in high-cover plans","Over the past two years, the number of women buying term insurance in India has surged by 80%, with many opting for higher coverage plans exceeding  ₹2 crore. | 120% rise in women buying high-value term insurance | Growing participation of homemakers | Most women term plan buyers are from Delhi, Mumbai and Bangalore | Term insurance plans are popular among women in smaller cities","The number of women buying term insurance plans in India has surged by 80 percent over the past two years, according to PolicyBazaar's latest data released on Tuesday. This rise reflects increased awareness and financial inclusion among women. The analysis also highlights a growing preference for higher coverage plans, with women opting for policies exceeding  ₹2 crore, according to PolicyBazaar data. PolicyBazaar's data also indicated an uptick in the growing trend in smaller cities. Andhra Pradesh's Guntur ranked among the top five cities where women purchased the most term insurance policies. Over the past two years, high-value term insurance plans, offering coverage of up to  ₹2 crore, have grown popular among women. The number of women buying high-cover plans saw a 120 percent increase since 2022,  PolicyBazaar's analysis revealed. Despite being introduced just a few years ago, term insurance plans for homemakers have quickly gained popularity. The PB data reflects that nearly 40 percent of policies purchased in the last two years were bought by housewives. Most buyers fall into the 20-to 30-year-old age group. “It is encouraging to see women taking charge of their financial planning by purchasing term insurance policies. We also recommend that, along with an adequate cover amount, women go for riders like critical illness. With the rising incidence of cancers specific to women, insurance providers have expanded their coverage in critical illness rider to include breast cancer, ovarian cancer, and cervical cancer,"" said Rishabh Garg, head of Term Insurance at Policybazaar. The majority of women who have been buying term insurance plans over the past two years are from metro cities, with Delhi, Mumbai and Bangalore leading. According to data, between 8 percent to 10 percent of women buyers were from Delhi, while 6 percent to 7 percent of buyers belonged to Hyderabad and Bangalore. Mumbai was also among the top four cities with the highest volume of term insurance purchases by women. Smaller cities are seeing a surge in term insurance purchases by women. Andhra Pradesh's Guntur ranked fifth in terms of the highest volume of term insurance purchases by women, with nearly 4 percent to 5 percent of women buyers. Other smaller cities, such as Bangalkote, Karur, Goalpara, Lucknow, Gorakhpur, also saw an increase in women term insurance buyers by 1 percent to 3 percent. Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/this-term-insurance-offers-rs-3-lakh-instant-payout-terminal-illness-benefits-and-premium-discounts-details-here-11724391298286.html,₹,"This term insurance offers  ₹3 lakh instant payout, terminal illness benefits, and premium discounts. Details here","'Sampoorna Raksha Promise' by Tata AIA Life Insurance includes features like instant  ₹3 lakh payout on claim intimation, terminal illness benefits, and premium waivers, providing comprehensive financial protection and flexibility | Sampoorna Raksha Promise offers coverage until age 100 with two options | Sampoorna Raksha: Key Benefits | Life Stage Benefit: | Sampoorna Raksha: Additional Features | Sampoorna Raksha: Discounts","Tata AIA Life Insurance has introduced a new term insurance product, ‘Sampoorna Raksha Promise,’ designed with advanced features to meet evolving consumer needs. Samit Upadhyay, President & CFO of Tata AIA, emphasised the shift in consumer expectations beyond basic claim payments. He stated, “Our new term insurance plan, Sampoorna Raksha Promise, caters to specific needs of consumers with innovative features such as instant payment upon claim intimation, inbuilt terminal illness benefits with acceleration of 50% of the base sum assured on the diagnosis and waiver of future premiums. This new solution is an endeavour to help our consumers live a fikar-free (worry-free) life and be taiyaar (prepared) in all situations."" Life Promise - Consumers can select a particular sum assured at purchase, payable upon the policyholder's death. Life Promise Plus - It offers a similar death benefit to the Life Promise Option. Further, when the policyholder survives until maturity, 100% of the total premium (excluding modal premiums and discounts) is paid back.  Instant Payout: ₹3 lakhs on death claim intimation to cover urgent expenses*. Premium Deferral: Option to defer premiums for up to 12 months. Terminal Illness Benefit: 50% of the sum assured paid upon diagnosis, with future premiums waived. Policyholders can increase coverage at key life events within 180 days: Marriage: 50% Birth/adoption of 1st and 2nd child: 25% each Home Loan: 100% (subject to the loan amount) Accelerated Instant Death Benefit:  ₹3 lakh paid within 1 working day after claim registration, post a 3-year waiting period. Flexi Pay Benefit: Defer premiums for up to 12 months without additional costs. 10% digital discount on online purchases 5% discount for salaried customers 2% milestone discount for significant life events 15% lower premium for women This comprehensive product aims to provide enhanced financial security and flexibility to meet diverse customer needs. Read all our personal finance stories here  Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/economic-survey-2024-fm-sitharaman-praises-life-insurance-corporation-while-sharing-these-irdai-findings-11721635323930.html,2 min read.22 Jul 2024,Economic Survey 2024: FM Sitharaman praises Life Insurance Corporation while sharing these IRDAI findings,"Economic Survey 2024: The document highlights the need for prompt insurance claim settlements, lower rejection rates, and addressing misselling in the insurance industry. | Budget 2024: Insurance Industry expectationsRakesh Jain CEO Reliance General Insurance","Union Finance Minister Nirmala Sitharaman presented the Economic Survey 2023-2024 in the Lok Sabha, highlighting key aspects of India's economic landscape. Concurrently, the Annual Report of IRDAI for FY23-24 underscored substantial challenges in the insurance sector. Notably, over two lakh complaints were lodged via the centralised grievance portal, with a significant portion targeting life insurers for unfair business practices, excluding the Life Insurance Corporation of India. ""Product misselling is too rampant to be dismissed as an aberration of a few overenthusiastic sales personnel. The same can be said of the insurance industry as well. Prompt and reasonable settlement of insurance claims and a lower rejection rate are necessary to increase insurance penetration. Acknowledging misselling and misrepresentation and compensating for consequential losses is a good business practice enjoined upon stockbroking, fund management, banking and insurance firms,"" the document noted. Economic Survey 2024 Live Updates The Union government tabled the Economic Survey 2023-24 in Parliament. The Economic Survey document, prepared by the Economic Division of the Department of Economic Affairs in the Ministry of Finance and formulated under the supervision of the chief economic adviser, gives insights into the state of the economy and various indicators of 2023-24 (April-March) and some outlook for the current year.  With this upcoming budget presentation, Finance Minister Nirmala Sitharaman will surpass the record set by former Prime Minister Morarji Desai, who presented five annual budgets and one interim budget between 1959 and 1964 as finance minister. Sitharaman's upcoming budget speech will be her seventh. “We commend the IRDAI's initiatives to prioritize the wellbeing of policyholders, from implementing cashless systems to emphasizing Ombudsman schemes, ensuring policyholders' interests are safeguarded. However, with increasing climate change and economic development-related risks, there is a pressing need to protect against unforeseen disruptions. The upcoming Union Budget 2024 presents an opportunity to promote sustainable development goals by prioritizing risk management and protection. We recommend that the government consider the following measures: •Increase the upper limit for tax exemption on health insurance premiums to INR 75,000. •Introduce financial support or tax benefits for extensive insurance on electric vehicles (EVs). •Give tax advantages for cyber insurance, particularly for small and medium businesses, to enhance their ability to withstand cyber risks and data breaches. •Mandate health insurance to all employers for their employees to bring holistic protection to the working class.  Implementing these measures will not only create a more resilient and sustainable economic environment but also pave the way for a healthier and greener future, fostering a sense of optimism and progress.” Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/health-insurance-plans-worried-about-being-underinsured-heres-how-an-unlimited-sum-insured-health-plan-can-help-you-11720249717806.html,2 min read.06 Jul 2024,Health insurance plans: Worried about being underinsured? Here’s how an unlimited sum-insured health plan can help you,Know its benefits A few health insurance providers have launched plans with unlimited sum insured in which there is no capping on medical treatment amount | What is an unlimited sum insured plan? | Who should opt for an unlimited sum insured plan? | How does an unlimited sum insured health plan work? | Health insurance plans with an unlimited sum insured | How much does an unlimited health insurance cost?,"Comprehensive health insurance provides a much-needed shield from critical illnesses and unprecedented health emergencies. In contrast to a higher sum insured amount, which provides a cushion to expensive treatment, a health plan with an unlimited sum insured amount eliminates the concern of exhausting the claim limit during treatment. Currently, there are fewer options for health insurance plans with unlimited sum insured features. However, they can act as saviour in terms of critical illnesses and other ailments requiring advanced treatment. Here’s all you need to know about unlimited sum insured plans. The sum insured by a health insurance plan is the maximum amount a person can avail for healthcare treatment. As the name suggests, an unlimited sum insured plan provides unlimited coverage to customers for healthcare treatment. Generally, health insurance plans come with a sum insured amount of  ₹5 lakh,  ₹25 lakh,  ₹1 crore, and more. However, there is no capping on the amount under unlimited sum insured plans. This feature empowers customers to avail of healthcare treatment without worrying about cost. An unlimited sum insured plan is helpful for people with pre-existing diseases or those at risk of age-related disease, according to Siddharth Singhal - Head of Health Insurance, Policybazaar.com. “People are often confused when choosing sum insured because you never know when a medical emergency might hit you. Covid, for instance, nobody could’ve imagined it, but it wreaked havoc on people’s lifetime savings. In such cases, it’s best to go with an unlimited sum insured,” said Singhal. By opting for this plan, a person can claim their health insurance unlimited times in a year with no upper limit for the claim amount. However, the situation varies according to the plan. Recently, ICICI Lombard launched a health insurance product, ‘Elevate’, which provides unlimited sum insured to policyholders. People can opt for this feature as an add-on service or as a critical feature of their policy. Bajaj Allianze’s Health Infinity Plan provides unlimited coverage. Customers can also avail themselves of wellness discounts, family discounts, and other benefits. The Unlimited Acko Platinum Plan also comes with an unlimited sum insured feature, allowing people to claim unlimited coverage for their health care treatment. Other key features of the plan include a zero-waiting period for pre-existing disease (PED) and 100% hospitalisation bill payment. Health insurance plans with an unlimited sum insured come with higher premiums than plans with a fixed sum insured amount. “The unlimited health insurance plan costs between  ₹15,000 and  ₹20,000. If a person chooses a plan with a  ₹10 lakh sum insured and above and adds a rider for unlimited coverage, it’ll cost them about  ₹7,000— ₹8,000 + 10% for the rider,” explained Singhal. Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/icici-lombard-launches-ai-powered-health-insurance-plan-elevate-five-things-to-know-11719989354245.html,1 min read.03 Jul 2024,ICICI Lombard launches AI-powered health insurance plan ‘Elevate’. 5 things to know,"ICICI Lombard launches 'Elevate', a revolutionary health insurance product powered by AI, offering personalised solutions for dynamic lifestyles and medical emergencies | Key features of ‘Elevate’","ICICI Lombard, a leading private general insurer in India, proudly announces the launch of its revolutionary health insurance product, ‘Elevate’. Powered with AI, the first-of-its-kind health product is loaded with cutting-edge features and add-ons, offering personalised solutions to meet the needs of dynamic lifestyles, unforeseen medical emergencies and medical inflation. This significant launch underscores ICICI Lombard’s commitment to pioneering advancements in the insurance industry, delivering exceptional value to its customers. Anand Singhi, Chief of Retail and Government at ICICI Lombard, stated, “‘Elevate’ embodies our steadfast dedication to pioneering innovation and customer-centricity. As a ground-breaking industry first, powered by an AI engine, ‘Elevate’ will redefine health insurance, ensuring a deeply personalised experience tailored to customers’ needs. With add-ons such as ‘Infinite Care’ and ‘Power Booster,’ we have set a new standard in health insurance, empowering our customers with unparalleled peace of mind in an increasingly dynamic world."" Elevate is designed to accommodate the rapidly evolving ecosystem and offers personalised, customer-centric plans that prioritize comprehensive coverage and flexibility. 1)Infinite Sum Insured: This feature addresses the concern of limited coverage and sum insured and ensures that policyholders never run out of coverage. 2)Infinite Claim Amount: This add-on offers comprehensive financial protection with an infinite claim amount for one-time claims during the policy lifetime without considering the sum insured. 3)Power Booster Add-on: This add-on provides a 100% cumulative bonus annually, irrespective of claims, for an indefinite period. 4)Reset Benefit: This feature triggers unlimited coverage resets, ensuring continuous protection regardless of claims. 5)Infinite Assurance: This jump-start add-on enables people with pre-existing disease conditions like asthma, diabetes, hypertension, hyperlipidaemia and obesity to start benefitting from the policy after 30th day as against the industry norms of waiting period of 3 years.  Leveraging the power of AI, ‘Elevate’ interprets customer inputs to deliver optimal coverage recommendations, ensuring that each policy is uniquely suited to individuals’ requirements. The bespoke approach to health insurance provides extensive protection while catering to personal health and financial considerations, making it more adaptable and responsive to customers’ needs. ‘Elevate’ also comes power-packed with 15 in-built covers and multiple personalization options, encompassing covers for 20 critical illnesses, personal accidents, maternityand newborn cover, accommodation and travel benefits, preventive care, inflation protector, air ambulance, personalised home care, and many more.     Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/why-health-insurance-with-opd-covers-are-growing-popular-in-india-check-top-plans-with-outpatient-department-cover-11717307960859.html,2 min read.02 Jun 2024,Why health insurance with OPD covers are growing popular in India? Check top plans with OPD cover,Many insurance buyers prefer to opt for health insurance plans with OPD coverage. Many also plan for OPD riders in their health insurance plans | Why are more people opting for OPD covers? | How much an OPD cover is relevant? | Top health insurance schemes with OPD cover | Insurance plans with OPD benefits are most popular in Tier 1 cities,"More people opting for health insurance prefer an additional Outpatient Department (OPD) cover. This feature's popularity has significantly increased over the years, with the percentage of customers opting for plans with OPD covers quadrupling to 20% in the last three years, according to Policybazaar data. Also Read: 5 key reasons health insurance is crucial for young adults' future security The main reason behind the growing popularity of health insurance plans with OPD covers and riders is the increasing preference for comprehensive coverage that extends beyond conventional inpatient services. Eighty percent of customers cite the accessibility to doctor consultations and diagnostic tests as one of the main reasons behind opting for OPD benefits in insurance plans. Also Read: Health insurance: New rule for faster cashless approvals might get off to a slow start The Policybazaar data suggests that millennials constitute a large share of health insurance holders looking for additional OPD cover as an inbuilt feature or a rider in their plans. Of all the customers who opted for an OPD rider or an insurance plan with OPD cover, 50% have actively utilised the OPD services. Also Read: Why you should buy health insurance plans for your family Despite the growing popularity of OPD coverage in health insurance, only a limited number of health insurers provide this feature in their basic plan. However, customers can still opt for OPD coverage with the help of an additional rider. According to PB data, 47% of customers opting for this feature fall within the 31-45% age bracket, whereas 34% of the customers are in the 18-30 segment. Also Read: Why is health insurance crucial for working women? Here are 4 key reasons Most of these insurance plans are popular in Tier 1 cities, as nearly 45% of people opt for health insurance policies with OPD benefits from Tier 1 cities. Second is the tier-3 category. Whereas, people living in these cities make up 35% of customers opting for health insurance with OPD benefits. Certain cities exhibit a higher concentration of customers opting for plans with OPD benefits, with Vellore (12.3%), Tiruvallur (10.9%), and Mathura (10.2%) leading the trend. Disclaimer: The views and recommendations made above are those of individual analysts, and not of Mint. We advise investors to check with certified experts before taking any investment decisions. Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/health-insurance-claim-new-rules-irdai-issues-circular-for-insurers-to-decide-on-cashless-authorisation-in-1-hour-11717035183709.html,3 min read.30 May 2024,Health insurance claim new rules: Irdai issues circular for insurers to decide on cashless authorisation in 1 hour,"IRDAI issued a new master circular on health insurance, aiming for 100% cashless claim settlement within a specific timeframe | Also Read: Why you should buy health insurance plans for your family | Salient features of the insurance regulator master circular | Final authorisation for discharge from the hospital | Also Read: Why is health insurance crucial for working women? Here are 4 key reasons | Implementation of Ombudsman Award | Approval for Cashless facility | Also Read: How to cut down on expenses with health insurance | Settlement of Claims","The Insurance Regulatory and Development Authority of India (IRDAI) released a new master circular on health insurance. According to this circular, insurers must decide on cashless authorisation within one hour of receiving a request. This master circular replaces 55 earlier circulars and is aimed at empowering policyholders and strengthening inclusive health insurance, stated Irdai in a circular dated May 29 The circular consolidates information on policyholder entitlements in a health insurance policy for easy reference. It also highlights measures to provide policyholders with a smoother, faster, and hassle-free claims experience and ensure improved service standards across the health insurance sector. “We are committed to aligning our health insurance offerings with the IRDAI's Master Circular on Health Insurance Business. Our goal is to provide policyholders with a wide range of products covering most medical conditions, including pre-existing diseases. We ensure equal treatment options across all lines of medicine, including Allopathy and AYUSH, and we strive to make 100% cashless services available,"" said Rakesh Jain, CEO of Reliance General Insurance. ""The new Master Circular requires insurers to process discharge authorizations within three hours, enhancing customer service and addressing a common grievance among policyholders,"" stated Manish Dodeja, Head of claims & Underwriting at Care Health Insurance. ""Insurers are urged to strive for 100% cashless claims."" ""The updated norms also encourage diversity in product offerings, catering to various demographics and medical needs. They allow policyholders with multiple policies to choose the policy under which to claim. Enhanced transparency is ensured by providing a Customer Information Sheet with each policy. Policyholders stand to benefit from No Claim Bonuses and have the flexibility to cancel policies at any time for a refund of the unexpired premium,"" Manish added. - immediately process the request for claim settlement. -get the mortal remains (dead body) released from the hospital immediately The master circular aims to achieve 100% cashless claim settlement within a specific timeframe. It proposes that cashless authorization requests be decided upon immediately, with a final decision made within three hours of the hospital's discharge request. This initiative signifies a significant step in empowering policyholders, ensuring they receive top-quality care and service. It also promotes trust and transparency in the health insurance sector. Disclaimer: The views and recommendations made above are those of individual analysts, and not of Mint. We advise investors to check with certified experts before taking any investment decisions.   Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
https://www.livemint.com/insurance/news/preponing-your-return-air-ticket-heres-when-you-can-get-a-full-refund-from-the-airline-11710405705362.html,2 min read.14 Mar 2024,Preponing your return air ticket? Here’s when you can get a full refund from the airline,"Experts suggested that in the case of a medical emergency, a traveller is required to submit all the proofs to get a refund","Let’s assume you are on a vacation with a full-planned itinerary. You are set to return home on a certain date, but due to some unavoidable reasons, you now need to return earlier. LiveMint talked to experts to understand under what circumstances a person who has taken travel insurance would be allowed to get a full refund of their return tickets. According to Manas Kapoor, business head of Travel Insurance at Policybazaar.com, travellers can get a full refund in the case of a medical emergency. This is also true if any one of the immediate family members falls sick on the trip or dies. Sandeep Bajaj, advocate at the Supreme Court of India, added, “The definition as to what falls under health emergency varies with the policies, but it generally covers sudden, unforeseen illnesses or injuries requiring immediate medical attention that necessitates changing travel plans.” Kapoor said that the definition of immediate family varies with different insurers, “but majorly, siblings, spouse, father, mother, all those are considered family across all insurance.” Experts suggested that in the case of a medical emergency, a traveller is required to submit all the proofs to get a refund. “In such an event, the passenger must preserve and collate all the relevant documents necessary to prove the existence of a medical emergency,” said Vipul Jai, partner at PSL Advocates & Solicitors. Kapoor explained that these documents may include proofs like admission to a hospital and a doctor’s advice on returning. According to Bajaj, there are some other cases when an airline may have to fully refund a traveller. “In cases where the airline cancels a flight due to bad weather, mechanical issues, or staffing problems or if there is a significant rescheduling in the flight timings, the passengers are entitled to get a full refund regardless of the reason for cancellation,” Bajaj said. However, in these cases, according to the rules of the Directorate General of Civil Aviation (DGCA), an airline is bound to provide a traveller with an alternative at no additional cost. If one does not accept it, they are not bound to get any compensation. “One is not entitled to any compensation or refund in case you don’t accept alternative travel arrangements or if the cancellation occurs due to extraordinary circumstances beyond the control of the airline, like any force majeure events like civil war, natural disasters, security risks, government regulations etc,” said Sneha Bhogle Kale, partner at Accord Juris LLP. The compensation or refund is covered under Civil Aviation Requirements (CAR), Section-3, Series-M, Part-IV of the DGCA rules. Catch all the Business News, Market News, Breaking News Events and Latest News Updates on Live Mint. Download The Mint News App to get Daily Market Updates."
