headline,url,published_date,year,month
"PNB MetLife, Religare Health tie up - The Hindu",https://www.thehindu.com/business/pnb-metlife-religare-health-tie-up/article29522716.ece,,,
"PNB MetLife, Religare Health tie up - The Hindu",https://www.thehindu.com/business/pnb-metlife-religare-health-tie-up/article29522716.ece,,,
Sindhu is PNB MetLife brand ambassador - The Hindu,https://www.thehindu.com/sport/other-sports/sindhu-is-pnb-metlife-brand-ambassador/article26141598.ece,,,
PNB MetLife declares ₹930 crore bonus for FY24 - The Hindu,https://www.thehindu.com/business/pnb-metlife-declares-930-crore-bonus-for-fy24/article68285994.ece,,,
Tata AIA to buy 70 per cent stake in PNB Metlife - The Hindu,https://www.thehindu.com/business/Industry/Tata-AIA-to-buy-70-per-cent-stake-in-PNB-Metlife/article16924109.ece,,,
PNB MetLife launches VR-based customer service platform - The ...,https://www.thehindu.com/news/cities/Hyderabad/PNB-MetLife-launches-VR-based-customer-service-platform/article16907362.ece,,,
Forum directs MetLife to offset Rs. 16.72 lakh loan - The Hindu,https://www.thehindu.com/news/cities/Hyderabad/Forum-directs-MetLife-to-offset-Rs.-16.72-lakh-loan/article14431195.ece,,,
PNB MetLife comes to badminton's aid - The Hindu,https://www.thehindu.com/sport/other-sports/pnb-metlife-comes-to-badmintons-aid/article6861157.ece,,,
MetLife launches new equity-linked product - The Hindu,https://www.thehindu.com/business/companies/MetLife-launches-new-equity-linked-product/article15906476.ece,,,
PNB Metlife launches AI-powered customer service app - The Hindu,https://www.thehindu.com/business/Industry/pnb-metlife-launches-ai-powered-customer-service-app/article25290512.ece,,,
Junior Badminton Championships: Smit stuns Simran for title - The ...,https://www.thehindu.com/sport/other-sports/junior-badminton-championships-smit-stuns-simran-for-title/article10713403.ece,,,
"Badminton | Consistency will be the key in the Asian Games, says ...",https://www.thehindu.com/sport/other-sports/badminton-consistency-will-be-the-key-in-the-asian-games-says-satwiksairaj/article67311173.ece,,,
"Badminton | Consistency will be the key in the Asian Games, says ...",https://www.thehindu.com/sport/other-sports/badminton-consistency-will-be-the-key-in-the-asian-games-says-satwiksairaj/article67311173.ece,,,
Taylor Swift's fashion tips - The Hindu,https://www.thehindu.com/features/metroplus/taylor-swifts-fashion-tips/article7413746.ece,,,
Tata Sons plans to sell 3% stake in TCS - The Hindu,https://www.thehindu.com/business/Industry/Tata-Sons-plans-to-sell-3-stake-in-TCS/article16919474.ece,,,
2026 FIFA World Cup final to be played in New Jersey - The Hindu,https://www.thehindu.com/sport/football/2026-fifa-world-cup-final-to-be-played-in-new-jersey/article67812889.ece,,,
Anmol lone top seed to survive - The Hindu,https://www.thehindu.com/sport/other-sports/anmol-lone-top-seed-to-survive/article7351404.ece,,,
Gayatri enters the semifinals - The Hindu,https://www.thehindu.com/sport/other-sports/gayatri-enters-the-semifinals/article7359271.ece,,,
Rahman rocks at IIFA show - The Hindu,https://www.thehindu.com/entertainment/movies/iifa-rocks-celebrates-rahman/article62055253.ece,,,
Hyderabad poised to attract more BFSI facilities - The Hindu,https://www.thehindu.com/news/cities/Hyderabad/hyderabad-poised-to-attract-more-bfsi-facilities/article68385689.ece,,,
"Best performance of my career, says Sai Praneeth - The Hindu",https://www.thehindu.com/sport/other-sports/best-performance-of-my-career/article61795461.ece,,,
All set for IIFA 2017 in New York - The Hindu,https://www.thehindu.com/entertainment/movies/all-set-for-iifa-2017-in-new-york/article19263765.ece,,,
Aakarshi beats Smit - The Hindu,https://www.thehindu.com/sport/other-sports/aakarshi-beats-smit/article7355486.ece,,,
Aakarshi beats Smit - The Hindu,https://www.thehindu.com/sport/other-sports/aakarshi-beats-smit/article7355486.ece,,,
Messi targets Copa Centenario cup - The Hindu,https://www.thehindu.com/sport/football/Messi-targets-Copa-Centenario-cup/article14378269.ece?src=ilaw,,,
"Latest Commonwealth Games News, Photos, Latest News ...",https://www.thehindu.com/topic/Commonwealth_Games/,,,
